[1600, 10]


[1601, 4]
[1601, 7]


[1602, 9]
[1602, 12]


[1603, 6]


[1604, 2]
[1604, 8]


[1605, 5]


[1606, 1]
[1606, 10]


[1607, 4]
[1607, 7]


[1608, 6]


[1609, 2]
[1609, 3]
[1609, 11]


[1610, 8]


[1611, 5]


[1612, 1]
[1612, 4]
[1612, 7]


[1613, 9]
[1613, 12]


[1614, 6]


[1615, 2]
[1615, 3]
[1615, 11]


[1616, 5]


[1617, 1]
[1617, 10]


[1618, 4]
[1618, 7]


[1619, 9]
[1619, 12]


[1620, 3]
[1620, 11]


[1621, 8]


[1622, 5]


[1623, 1]
[1623, 10]


[1624, 9]
[1624, 12]


[1625, 6]


[1626, 2]
[1626, 3]
[1626, 11]


[1627, 8]


[1628, 10]


[1629, 4]
[1629, 7]


[1630, 9]
[1630, 12]


[1631, 6]


[1632, 2]
[1632, 8]


[1633, 5]


[1634, 1]
[1634, 10]


[1635, 4]
[1635, 7]


[1636, 6]


[1637, 2]
[1637, 3]
[1637, 11]


[1638, 8]


[1639, 5]


[1640, 1]
[1640, 4]
[1640, 7]


[1641, 9]
[1641, 12]


[1642, 6]


[1643, 2]
[1643, 3]
[1643, 11]


[1644, 5]


[1645, 1]
[1645, 10]


[1646, 4]
[1646, 7]


[1647, 9]
[1647, 12]


[1648, 3]
[1648, 11]


[1649, 8]


[1650, 5]


[1651, 1]
[1651, 10]


[1652, 9]
[1652, 12]


[1653, 6]


[1654, 2]
[1654, 3]
[1654, 11]


[1655, 8]


[1656, 10]


[1657, 4]
[1657, 7]


[1658, 9]
[1658, 12]


[1659, 6]


[1660, 2]
[1660, 8]


[1661, 5]


[1662, 1]
[1662, 10]


[1663, 4]
[1663, 7]


[1664, 6]


[1665, 2]
[1665, 3]
[1665, 11]


[1666, 8]


[1667, 5]


[1668, 1]
[1668, 4]
[1668, 7]


[1669, 9]
[1669, 12]


[1670, 6]


[1671, 2]
[1671, 3]
[1671, 11]


[1672, 5]


[1673, 1]
[1673, 10]


[1674, 4]
[1674, 7]


[1675, 9]
[1675, 12]


[1676, 3]
[1676, 11]


[1677, 8]


[1678, 5]


[1679, 1]
[1679, 10]


[1680, 9]
[1680, 12]


[1681, 6]


[1682, 2]
[1682, 3]
[1682, 11]


[1683, 8]


[1684, 10]


[1685, 4]
[1685, 7]


[1686, 9]
[1686, 12]


[1687, 6]


[1688, 2]
[1688, 8]


[1689, 5]


[1690, 1]
[1690, 10]


[1691, 4]
[1691, 7]


[1692, 6]


[1693, 2]
[1693, 3]
[1693, 11]


[1694, 8]


[1695, 5]


[1696, 1]
[1696, 4]
[1696, 7]


[1697, 9]
[1697, 12]


[1698, 6]


[1699, 2]
[1699, 3]
[1699, 11]


[1700, 8]


[1701, 5]


[1702, 1]
